CHROMATOGRAM	
Unknown2inEtOH.raw	
Data points: 11180	
Time	Intensity
1.395	138311680
1.396666667	138308160
1.398333333	138306240
1.4	138307840
1.401666667	138308160
1.403333333	138305280
1.405	138308800
1.406666667	138304960
1.408333333	138309440
1.41	138304000
1.411666667	138309760
1.413333333	138308480
1.415	138306560
1.416666667	138305600
1.418333333	138307200
1.42	138306240
1.421666667	138309440
1.423333333	138305280
1.425	138307520
1.426666667	138304960
1.428333333	138309440
1.43	138306560
1.431666667	138306880
1.433333333	138307200
1.435	138307200
1.436666667	138307200
1.438333333	137711680
1.44	135624000
1.441666667	133548160
1.443333333	131546880
1.445	129612800
1.446666667	127703360
1.448333333	125849280
1.45	124028800
1.451666667	122238400
1.453333333	120534400
1.455	118864640
1.456666667	117158080
1.458333333	115426240
1.46	113613120
1.461666667	111816320
1.463333333	110047040
1.465	108336640
1.466666667	106728000
1.468333333	105173120
1.47	103645120
1.471666667	102073280
1.473333333	100431360
1.475	98744000
1.476666667	96996480
1.478333333	95191680
1.48	93385280
1.481666667	91602880
1.483333333	89738880
1.485	87676480
1.486666667	85499520
1.488333333	83304960
1.49	81145280
1.491666667	78939200
1.493333333	76623040
1.495	74388160
1.496666667	72219520
1.498333333	70017920
1.5	67829120
1.501666667	65727040
1.503333333	63646400
1.505	61627200
1.506666667	59668800
1.508333333	57775360
1.51	55953280
1.511666667	54100800
1.513333333	52262720
1.515	50499840
1.516666667	48855680
1.518333333	47289600
1.52	45754880
1.521666667	44257920
1.523333333	42798720
1.525	41408000
1.526666667	40071680
1.528333333	38808000
1.53	37594560
1.531666667	36439360
1.533333333	35316480
1.535	34230080
1.536666667	33183040
1.538333333	32169920
1.54	31189120
1.541666667	30250240
1.543333333	29355520
1.545	28505600
1.546666667	27692160
1.548333333	26914240
1.55	26165440
1.551666667	25444480
1.553333333	24739200
1.555	24069440
1.556666667	23424320
1.558333333	22811840
1.56	22219840
1.561666667	21651520
1.563333333	21113600
1.565	20603200
1.566666667	20092800
1.568333333	19602240
1.57	19129600
1.571666667	18673920
