CHROMATOGRAM	
VanillinEtOH.raw	
Data points: 12380	
Time	Intensity
1.166666667	390280
1.168333333	390460
1.17	390380
1.171666667	390160
1.173333333	390160
1.175	390270
1.176666667	390200
1.178333333	390210
1.18	390200
1.181666667	390000
1.183333333	389910
1.185	389820
1.186666667	389860
1.188333333	389770
1.19	389680
1.191666667	389730
1.193333333	389940
1.195	390320
1.196666667	390740
1.198333333	391060
1.2	391800
1.201666667	394060
1.203333333	406030
1.205	455680
1.206666667	618980
1.208333333	1071780
1.21	2120430
1.211666667	4226070
1.213333333	7814720
1.215	13413760
1.216666667	21803520
1.218333333	34462080
1.22	52602560
1.221666667	71807040
1.223333333	89461120
1.225	105958080
1.226666667	122205440
1.228333333	134586240
1.23	138279680
1.231666667	138280000
1.233333333	138278400
1.235	138278720
1.236666667	138279360
1.238333333	138279040
1.24	138280000
1.241666667	138278720
1.243333333	138279360
1.245	138277120
1.246666667	138277760
1.248333333	138279040
1.25	138279360
1.251666667	138279040
1.253333333	138275840
1.255	138279040
1.256666667	138277760
1.258333333	138281280
1.26	138276800
1.261666667	138277120
1.263333333	138279040
1.265	138279040
1.266666667	138275840
1.268333333	138277440
1.27	138276480
1.271666667	138277440
1.273333333	138276800
1.275	138279360
1.276666667	138275520
1.278333333	138275840
1.28	138276480
1.281666667	138277440
1.283333333	138277440
1.285	138276160
1.286666667	138276160
1.288333333	138274880
1.29	138276800
1.291666667	138277760
1.293333333	138275200
1.295	138274880
1.296666667	138276800
1.298333333	138278080
1.3	138275520
1.301666667	138275520
1.303333333	138274880
1.305	138275840
1.306666667	138275840
1.308333333	138276160
1.31	138276800
1.311666667	138272640
1.313333333	138276800
1.315	138275840
1.316666667	138275200
1.318333333	138275840
1.32	138271680
1.321666667	138275520
1.323333333	138277120
1.325	138276480
1.326666667	138273600
1.328333333	138272640
1.33	138277440
1.331666667	138274560
1.333333333	138275200
1.335	138273600
1.336666667	138277120
1.338333333	138273920
1.34	138276160
1.341666667	138275840
1.343333333	138277440
1.345	138270720
1.346666667	138274560
1.348333333	138276160
1.35	138277120
1.351666667	138274560
1.353333333	138272320
1.355	138275200
1.356666667	138276160
1.358333333	138275840
1.36	138275200
1.361666667	138272000
1.363333333	138277440
1.365	138275840
1.366666667	138273280
1.368333333	138273920
1.37	138272960
1.371666667	138274880
1.373333333	138274560
1.375	138273920
1.376666667	138277760
1.378333333	138270720
1.38	138276800
1.381666667	138274240
1.383333333	138275520
1.385	138271680
1.386666667	138276160
1.388333333	137455680
1.39	134979840
1.391666667	132569600
1.393333333	130295360
1.395	128155520
1.396666667	126161600
1.398333333	124248960
1.4	122405440
1.401666667	120670720
1.403333333	118988160
1.405	117307840
1.406666667	115620160
1.408333333	113918080
1.41	112215360
1.411666667	110537600
1.413333333	108918400
1.415	107383040
1.416666667	105953600
1.418333333	104589760
1.42	103245120
1.421666667	101893120
1.423333333	100545280
1.425	99160960
1.426666667	97763200
1.428333333	96358080
1.43	94962240
1.431666667	93595520
1.433333333	92288000
1.435	90990720
1.436666667	89659840
1.438333333	88271360
1.44	86824640
1.441666667	85350720
1.443333333	83871680
1.445	82419840
1.446666667	80963200
1.448333333	79409920
1.45	77719680
1.451666667	75915520
1.453333333	74063360
1.455	72169920
1.456666667	70132160
1.458333333	68004480
1.46	65865600
1.461666667	63692480
