CHROMATOGRAM	
MixtureinEtOH.raw	
Time	Intensity
1.33	138108800
1.331666667	138106880
1.333333333	138109440
1.335	138104960
1.336666667	138108480
1.338333333	138109440
1.34	138108160
1.341666667	138105600
1.343333333	138110720
1.345	138100800
1.346666667	138112640
1.348333333	138107200
1.35	138107200
1.351666667	138105600
1.353333333	138106240
1.355	138108800
1.356666667	138108160
1.358333333	138106240
1.36	138106240
1.361666667	138103360
1.363333333	138112000
1.365	138105280
1.366666667	138107520
1.368333333	138105920
1.37	138109120
1.371666667	138105920
1.373333333	138108800
1.375	138103680
1.376666667	138109440
1.378333333	138103360
1.38	137712000
1.381666667	135484160
1.383333333	133102080
1.385	130860800
1.386666667	128791040
1.388333333	126866240
1.39	125040000
1.391666667	123300160
1.393333333	121699520
1.395	120145920
1.396666667	118577920
1.398333333	116927360
1.4	115364480
1.401666667	113769280
1.403333333	112164800
1.405	110614400
1.406666667	109095360
1.408333333	107648960
1.41	106319680
1.411666667	105057920
1.413333333	103875200
1.415	102667520
1.416666667	101428160
1.418333333	100151040
1.42	98850240
1.421666667	97524800
1.423333333	96233280
1.425	94971200
1.426666667	93783040
1.428333333	92647360
1.43	91535360
1.431666667	90402560
1.433333333	89243200
1.435	88043840
1.436666667	86789760
1.438333333	85486080
1.44	84126080
1.441666667	82709760
1.443333333	81274240
1.445	79717120
1.446666667	78021760
1.448333333	76213440
1.45	74404800
1.451666667	72589440
1.453333333	70682560
1.455	68680320
1.456666667	66691520
1.458333333	64693120
1.46	62679680
1.461666667	60690880
1.463333333	58738560
1.465	56812800
1.466666667	54861440
1.468333333	52879040
1.47	50981120
1.471666667	49195200
1.473333333	47507200
1.475	45862720
1.476666667	44259520
1.478333333	42682240
1.48	41152960
1.481666667	39664960
1.483333333	38226880
1.485	36841920
1.486666667	35509120
1.488333333	34239360
1.49	33024640
1.491666667	31848320
1.493333333	30711680
1.495	29597120
1.496666667	28507840
1.498333333	27472640
1.5	26486080
1.501666667	25536640
1.503333333	24626880
1.505	23755840
1.506666667	22926400
1.508333333	22128640
1.51	21365120
1.511666667	20640960
1.513333333	19945280
1.515	19280960
1.516666667	18650240
1.518333333	18043520
1.52	17452800
1.521666667	16880000
1.523333333	16328640
1.525	15793920
1.526666667	15281920
1.528333333	14791680
1.53	14324800
1.531666667	13881600
1.533333333	13458240
1.535	13047360
1.536666667	12655360
1.538333333	12281280
1.54	11925120
1.541666667	11587840
1.543333333	11277120
1.545	10988800
1.546666667	10718720
1.548333333	10461760
1.55	10214720
1.551666667	9977920
1.553333333	9748480
1.555	9524480
1.556666667	9307200
1.558333333	9086400
1.56	8867840
1.561666667	8644160
1.563333333	8422080
1.565	8201920
1.566666667	7987840
1.568333333	7780480
1.57	7579520
1.571666667	7388480
1.573333333	7207040
1.575	7037760
1.576666667	6879360
1.578333333	6732480
1.58	6591360
1.581666667	6456960
1.583333333	6330880
1.585	6209920
1.586666667	6095680
1.588333333	5985920
1.59	5882240
1.591666667	5782080
1.593333333	5685760
1.595	5594240
1.596666667	5506880
1.598333333	5424960
1.6	5348800
1.601666667	5274880
1.603333333	5204800
1.605	5142400
1.606666667	5086080
1.608333333	5034560
1.61	4983360
1.611666667	4930240
1.613333333	4877440
1.615	4821760
1.616666667	4769600
1.618333333	4718720
1.62	4669440
1.621666667	4624320
1.623333333	4583040
1.625	4543360
1.626666667	4505280
1.628333333	4465920
1.63	4427520
1.631666667	4390080
1.633333333	4355520
1.635	4322880
1.636666667	4290560
1.638333333	4259840
1.64	4229120
1.641666667	4201600
1.643333333	4175040
1.645	4148800
1.646666667	4123840
1.648333333	4099520
1.65	4075200
1.651666667	4053120
1.653333333	4031360
1.655	4010560
1.656666667	3989760
1.658333333	3968960
1.66	3946880
1.661666667	3925440
1.663333333	3904960
1.665	3884160
1.666666667	3863360
1.668333333	3843520
1.67	3824000
1.671666667	3806400
1.673333333	3789440
1.675	3772160
1.676666667	3755200
1.678333333	3739200
1.68	3721600
1.681666667	3702720
1.683333333	3685440
1.685	3667520
1.686666667	3652480
1.688333333	3637440
1.69	3623360
1.691666667	3609920
1.693333333	3596800
1.695	3581440
1.696666667	3567040
1.698333333	3552640
1.7	3537600
1.701666667	3522240
1.703333333	3508800
1.705	3493440
1.706666667	3477440
1.708333333	3459840
1.71	3444160
1.711666667	3428160
1.713333333	3413120
1.715	3397760
1.716666667	3380480
1.718333333	3366400
1.72	3352960
1.721666667	3339520
1.723333333	3323840
1.725	3309760
1.726666667	3295040
1.728333333	3278720
1.73	3262080
1.731666667	3245120
1.733333333	3228160
1.735	3214080
1.736666667	3201280
1.738333333	3183060
1.74	3167170
1.741666667	3153090
1.743333333	3137760
1.745	3120440
1.746666667	3103540
1.748333333	3087930
1.75	3071370
1.751666667	3057170
1.753333333	3041730
1.755	3024370
1.756666667	3007610
1.758333333	2991390
1.76	2974240
1.761666667	2958120
1.763333333	2942260
1.765	2927610
1.766666667	2913810
1.768333333	2899620
1.77	2885810
1.771666667	2872700
1.773333333	2857870
1.775	2843440
1.776666667	2829530
1.778333333	2815210
1.78	2800140
1.781666667	2786580
1.783333333	2772950
1.785	2759050
1.786666667	2744050
1.788333333	2730010
1.79	2717560
1.791666667	2705590
1.793333333	2693600
1.795	2681720
1.796666667	2668810
1.798333333	2655520
1.8	2643130
1.801666667	2629390
1.803333333	2617600
1.805	2606080
1.806666667	2594960
1.808333333	2582730
1.81	2570640
1.811666667	2557610
1.813333333	2545600
1.815	2533810
1.816666667	2522030
1.818333333	2510880
1.82	2500160
1.821666667	2488630
